Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
CHeSS: A Configuration Health Scoring System and Its Application to Network Devices,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A Generic Framework for Structuring Configuration Management for Socio-technical System: Application to Control Rooms,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Facilitating Connector Evolution With Architecture-Centric Development,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Cloudcasting: A New architecture for cloud centric networks,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Managing Configuration Errors in Cloud Computing Using Cluster & Node Management Techniques,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Attack surface reduction in contemporary operating systems via practical kernel debloating,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Defining and measuring Puppet code quality,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Detecting Operator Errors In Cloud Computing Using Anti-Patterns,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
iConfig: What I See Is What I Configure,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Research on Application Configuration Management Technology for Cloud Platform,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Configuration Modeling and Diagnosis in Data Centers,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Online Detection of Operator Errors in Cloud Computing Using Anti-patterns,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Co-diagnosing configuration failures in co-robotic systems,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Semantics and provenance of configuration programming language μPuppet,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A Configuration User Interface for Multi-Cloud Storage Based on Secret Sharing: An Exploratory Design Study,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
SCIBORG: Secure Configurations for the IOT Based on Optimization and Reasoning on Graphs.,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A Framework For Misconfiguration Diagnosis in Interconnected Multiparty Systems,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A Decision-Theoretic Approach to Network Fault Diagnosis and Follow-up Action,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Method for improving the security of a networked system by adjusting the configuration parameters of the system components,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
The stratosphere platform for big data analytics,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Hippodrome: Running circles around storage administration,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Towards a high-level machine configuration system,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Toward provenance-based security for configuration languages,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Configuration tools: Working together,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Why software is eating the world,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Above the Clouds: A Berkeley View of Cloud Computing,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Field studies of computer system administrators: Analysis of system management tools and practices,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Detecting and resolving policy misconfigurations in access-control systems,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A few billion lines of code later: Using static analysis to find bugs in the real world,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Humanaware computer system design,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Educating system administrators,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Towards Availability and Maintainability Benchmarks: A Case Study of Software RAID Systems,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
To err is human,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Undo for Operators: Building an undoable e-mail store,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A site configuration engine,Backward,not found,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Unassisted and automatic generation of high-coverage tests for complex systems programs,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Managing energy and server resources in hosting centers,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Rethinking database system architecture: Towards a selftuning risc-style database system,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A survey of system configuration tools,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A case study in configuration management tool deployment,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Making system configuration more declarative,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Purely functional system configuration management,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
What have we learnt in 20 years of L4 microkernels?,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
The smartfrog configuration management framework,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Design guidelines for system administration tools developed through ethnographic field study,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
"Profiling, what-if analysis, and cost-based optimization of mapreduce programs",Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A declarative approach to automated configuration,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A survey of system administrator mental models and situation awareness,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
KungfuValley: A systematic configuration validation framework for cloud services,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Understanding customer problem troubleshooting from storage system logs,Backward,not found,,Systems Approaches to Tackling Configuration Errors: A Survey,,
The vision of autonomic computing,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Discovering correctness constraints for self-management of system configuration,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
The state of the art in end-user software engineering.,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Programming Language Techniques for Modular Router Configurations,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Experimental study of internet stability and backbone failures,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
"Dependable computing: Concepts, limits, challenges",Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Auto-configuration by file construction: Configuration management with newfig,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Getting started with configuration management,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Against The Use of Programming Languages in Configuration Files,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Improving user-interface dependability through mitigation of human error,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Fuzz Revisited: A Re-Examination of the Reliability of UNIX Utilities and Services,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Improving a human-computer dialogue,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Network configuration management via model finding,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Declarative infrastructure configuration synthesis and debugging,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Heuristic evaluation of user interfaces,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Design principles for human-computer interfaces,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Design rules based on analyses of human error,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Understanding and validating database system administration,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Barricade: Defending systems against operator mistakes,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Finding probably better system configurations quickly,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Mining for misconfigured machines in grid systems,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
"Recovery-Oriented Computing (ROC): Motivation, Definition, Techniques, and Case Studies",Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Heterogeneity and dynamicity of clouds at scale: Google trace analysis,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
BFT for the skeptics,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Automatically generating predicates and solutions for configuration troubleshooting,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Fine-grained access-control for the puppet configuration language,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Designing tools for system administrators: An empirical test of the integrated user satisfaction model,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Flight data recorder: Monitoring persistent-state interactions to improve systems management,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
LiveOps: Systems management as a service,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A smart hill-climbing algorithm for application server configuration,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A recursive random search algorithm for large-scale network parameter configuration,Backward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Improving software diagnosability via log enhancement,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Why do migrations fail and what can we do about it?,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Automatic configuration of internet services,Backward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
"The good, the bad, and the differences: Better network diagnostics with differential provenance",Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Resource provisioning planning for enterprise migration and automated application discovery,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Spatial–temporal prediction models for active ticket managing in data centers,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Managing data center tickets: Prediction and active sizing,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
MADneSs: A multi-layer anomaly detection framework for complex dynamic systems,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Operating systems for resource-adaptive intelligent software: Challenges and opportunities,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Delivering software with agility and quality in a cloud environment,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Cloud migration using automated planning,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Enterprise-scale cloud migration orchestrator,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Toward beneficial transformation of enterprise workloads to hybrid clouds,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Explaining inference queries with bayesian optimization,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Differential energy profiling: energy optimization via diffing similar apps,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Automation and orchestration framework for large-scale enterprise cloud migration,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Automated business application discovery,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Acts in need: automatic configuration tuning with scalability guarantees,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Praxi: cloud software discovery that learns from practice,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
What is All the FaaS About?-Remote Exploitation of FPGA-as-a-Service Platforms,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Cloud transformation analytics services: a case study of cloud fitness validation for server migration,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Deltasherlock: Identifying changes in the cloud,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
"Network troubleshooting: survey, taxonomy and challenges",Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Automatic invariant selection for online anomaly detection,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
IT troubleshooting with drift analysis in the DevOps era,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
"Computing resource transformation, consolidation and decomposition in hybrid clouds",Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Automated system change discovery and management in the cloud,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
A cloud-native monitoring and analytics framework,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Genetic Algorithms For Tightening Security,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
A scheme for X-ray medical image denoising using sparse representations,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Pvad: Privacy-preserving verification for secure routing in ad hoc networks,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
File Systems are Hard to Test—Learning from Xfstests,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Popcon: Mining popular software configurations from community,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Relax: Automatic Contention Detection and Resolution for Configuration Related Performance Tuning,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Debugging the Performance of Configurable Software Systems: A Human-Centered White-box Approach,Forward,relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Workload Prediction for Efficient Performance Isolation and System Reliability,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Interpreted formalisms for configurations,Forward,relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Adaptive Framework for Configuration Tuning,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Version space learning for verification on temporal differentials,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Cloud computing application adaptation as a service,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,not found
Improving data center efficiency through smart grid integration and intelligent analytics,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Detection and Prevention of Misuse of Software Components,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Leveraging trusted computing and model checking to build dependable virtual machines,Forward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Virtual machine images as structured data: the Mirage image library,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
The Role of Domain Knowledge in Data Mining,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Feature Selection via Concave Minimiation and Support Vector Machiens,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
KLEE: Unassisted and Automatic Generation of High-Coverage Tests for Complex Systems Programs,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Mining Frequent Pattern without Candidate Generation,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
A Component-based software configuration management model and its supporting system,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Privacy-Preserving Friends Troubleshooting Network,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Efficiently Mining Long Patterns from Database,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
SLIM: Directly Mining Descriptive Patterns,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Mining Quantative Association Rules in Large Relational Tables,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Bootstrapping an Infrastructure,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
Detecting Large-Scale System Problems by Mining Console Logs,Backward,not-relevant,,Encore: Exploiting system environment and correlation information for misconfiguration detection,,
The threat of offensive ai to organizations,Forward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
Reboot-based recovery of performance anomalies in adaptive bitrate video-streaming services,Forward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
On Run-Time Configuration Engineering,Forward,relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
The NIST Definition of Cloud Computing,Backward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
Nail-it-down: nailing and fixing configuration faults in cloud environments,Backward,relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
Minerals: using data mining to detect router misconfigurations,Backward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
A survey of online failure prediction methods,Backward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
Online failure prediction in cloud datacenters by real-time message pattern learning,Backward,not-relevant,,Learning from Before and After Recovery to Detect Latent Misconfiguration,,
Cloud Computing Risk: A Decision-making Framework,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Managing limited network access configuration,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Datacenter Selection in Cloud Framework for Efficient Load Distribution Using a Fuzzy Approach,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
"Operationalization of the Metadata Element"" Difficulty""",Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Object-oriented conceptual programming based on PROT nets,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Implementing Chinese Wall security model for cloud-based services,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Automatic server role identification for cloud infrastructure construction,Forward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Automatic parameter configuration for cloud infrastructures by design pattern extraction,Forward,relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Configuration Policy Extraction for Parameter Settings in Cloud Infrastructure Using UML/OCL Verification,Forward,relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
The Method and Tool of Cost Analysis for Cloud Computing,Backward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
C4.5: Programs for Machine Learning,Backward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Podim: A language for high-level configuration management,Backward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Information retrieval,Backward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
Induction of Decision Trees,Backward,not-relevant,,Misconfiguration detection for cloud datacenters using decision tree analysis,,
A comparison of 10 sampling algorithms for configurable systems,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
The state of adoption and the challenges of systematic variability management in industry,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Data-efficient performance learning for configurable systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Automated analysis of feature models: Quo vadis?,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,does not match inclusion criteria,
"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack",Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Where is my feature and what is it about? a case study on recovering feature facets,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Maintaining feature traceability with embedded annotations,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A study of feature scattering in the linux kernel,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Tackling combinatorial explosion: a study of industrial needs and practices for analyzing highly configurable systems,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Using machine learning to infer constraints for product lines,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
SMTIBEA: a hybrid multi-objective optimization algorithm for configuring large constrained software product lines,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Facing the truth: benchmarking the techniques for the evolution of variant-rich systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Transfer learning across variants and versions: The case of linux kernel size,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Propagating configuration decisions with modal implication graphs,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Feature-oriented defect prediction,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
PEoPL: projectional editing of product lines,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Simulating the evolution of clone-and-own projects with VEVOS,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Finding lost features in cloned systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Usage scenarios for a common feature modeling language,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Do# ifdefs influence the occurrence of vulnerabilities? an empirical study of the linux kernel,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A qualitative study of application-level caching,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Navigating the maze: the impact of configurability in bioinformatics software,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Quantifying the variability mismatch between problem and solution space,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Kmax: Finding all configurations of kbuild makefiles statically,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Recommending Faulty Configurations for Interacting Systems Under Test Using Multi-objective Search,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Mining cross product line rules with multi-objective search and machine learning,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Composing annotations without regret? Practical experiences using FeatureC,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
An empirical study of real-world variability bugs detected by variability-oblivious tools,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
An empirical study of configuration mismatches in linux,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A calculus for variational programming,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Mining feature revisions in highly-configurable software systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
CoMID: Context-based multiinvariant detection for monitoring cyber-physical software,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
KernelHaven: an experimentation workbench for analyzing software product lines,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
On language levels for feature modeling notations,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
KernelHaven: An open infrastructure for product line analysis,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
How explicit feature traces did not impact developers' memory,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Covert and phantom features in annotations: Do they impact variability analysis?,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Learning from thousands of build failures of linux kernel configurations,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Learning-based performance specialization of configurable systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
An empirical investigation of organic software product lines,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Don't Worry About it: Managing Variability On-The-Fly,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Incremental software product line verification-A performance analysis with dead variable code,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
ConfigFix: interactive configuration conflict resolution for the Linux kernel,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Using multi-objective search and machine learning to infer rules constraining product configurations,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A framework for automated multi-stage and multi-step product configuration of cyber-physical systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,"cyber physical systems, configuration language",
To preserve or not to preserve invalid solutions in search-based software engineering: a case study in software product lines,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
We're Not Gonna Break It! Consistency-Preserving Operators for Efficient Product Line Configuration,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Finding broken Linux configuration specifications by statically analyzing the Kconfig language,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,configuration language,
Feature similarity: A method to detect unwanted feature interactions earlier in software product lines,Forward ,not accessible,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Enabling efficient automated configuration generation and management,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
On compression of encrypted video,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Answering the call of the wild? thoughts on the elusive quest for ecological validity in variability modeling,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Reverse engineering variability in an industrial product line: observations and lessons learned,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Scaling up the fitness function for reverse engineering feature models,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
"Demonstration of a Toolchain for Feature Extraction, Analysis and Visualization on an Industrial Case Study",Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Localizing configurations in highly-configurable systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Leveraging feature similarity for earlier detection of unwanted feature interactions in evolving software product lines,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Evolving System Families in Space and Time,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Tseitin or not Tseitin? The Impact of CNF Transformations on Feature-Model Analyses,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Clock-frequency assignment for multiple clock domain systems-on-a-chip,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Dip-coating of Superhydrophobic Surface on Irregular Substrates for Dropwise Condensation,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
SPL-XFactor: a framework for reverse engineering feature models,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Projectional editing of software product lines–The PEoPL approach,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
